id	name	sourceId	queryName	matchMode	siteName	url	outfile	status
f_12	哨衛	12	哨卫					no_query_match
f_18	衛隊長	18	卫队长					no_query_match
f_24	侍從	24	侍从					no_query_match
f_41	聖光团長肖恩	41	圣光团长肖恩					no_query_match
f_42	聖光团長肖恩	42	圣光团长肖恩					no_query_match
f_83	胜利衝锋詹姆	83	胜利冲锋詹姆					no_query_match
f_84	胜利衝锋詹姆	84	胜利冲锋詹姆					no_query_match
f_90	劍士	90	剑士					no_query_match
f_96	大劍士	96	大剑士					no_query_match
f_102	重劍士	102	重剑士					no_query_match
f_108	佣兵	108	佣兵					no_query_match
f_114	高級佣兵	114	高级佣兵					no_query_match
f_120	佣兵隊長	120	佣兵队长					no_query_match
f_125	致命旋舞温蒂	125	致命旋舞温蒂					no_query_match
f_126	致命旋舞温蒂	126	致命旋舞温蒂					no_query_match
f_132	重弩手	132	重弩手					no_query_match
f_138	禁衛重弩手	138	禁卫重弩手					no_query_match
f_144	重弩上尉	144	重弩上尉					no_query_match
f_150	连弩手	150	连弩手					no_query_match
f_156	禁衛连弩手	156	禁卫连弩手					no_query_match
f_162	连弩上尉	162	连弩上尉					no_query_match
f_167	猎魔將軍范海辛	167	猎魔将军范海辛					no_query_match
f_168	猎魔將軍范海辛	168	猎魔将军范海辛					no_query_match
f_174	修女	174	修女					no_query_match
f_180	戰斗修女	180	战斗修女					no_query_match
f_186	戰斗修女長	186	战斗修女长					no_query_match
f_192	执事	192	执事					no_query_match
f_198	女牧師	198	女牧师					no_query_match
f_308	花园聖衛莱拉妮	308	花园圣卫莱拉妮					no_query_match
f_311	劳動模范白白	311	劳动模范白白					no_query_match
f_312	劳動模范白白	312	劳动模范白白					no_query_match
f_314	捣蛋鬼曼妮	314	捣蛋鬼曼妮					no_query_match
f_317	庄主夫人	317	庄主夫人					no_query_match
f_318	庄主夫人	318	庄主夫人					no_query_match
f_320	女警薇薇安	320	女警薇薇安					no_query_match
f_321	女警薇薇安	321	女警薇薇安					no_query_match
f_323	滅龍	323	灭龙					no_query_match
f_324	滅龍	324	灭龙					no_query_match
f_326	威廉·華莱士	326	威廉·华莱士					no_query_match
f_327	威廉·華莱士	327	威廉·华莱士					no_query_match
f_329	小鲜肉	329	小鲜肉					no_query_match
f_330	小鲜肉	330	小鲜肉					no_query_match
f_332	後羿	332	后羿					no_query_match
f_333	後羿	333	后羿					no_query_match
f_335	嫦娥	335	嫦娥					no_query_match
f_336	嫦娥	336	嫦娥					no_query_match
f_338	阿拉貝拉修女	338	阿拉贝拉修女					no_query_match
f_339	阿拉貝拉修女	339	阿拉贝拉修女					no_query_match
f_341	虔诚者杰斯	341	虔诚者杰斯					no_query_match
f_344	干將	344	干将					no_query_match
f_347	莫邪	347	莫邪					no_query_match
f_350	凛冬公主	350	凛冬公主					no_query_match
f_351	凛冬公主	351	凛冬公主					no_query_match
f_353	槍械師艾默炟	353	枪械师艾默炟					no_query_match
f_356	哪吒	356	哪吒					no_query_match
f_359	永恒大法師	359	永恒大法师					no_query_match
f_360	永恒大法師	360	永恒大法师					no_query_match
f_365	勤劳的农夫杰克	365	勤劳的农夫杰克					no_query_match
f_368	鲁班	368	鲁班					no_query_match
f_371	波士顿人	371	波士顿人					no_query_match
f_372	波士顿人	372	波士顿人					no_query_match
f_380	劍術大師中泽琴	380	剑术大师中泽琴					no_query_match
f_383	精衛·稚川	383	精卫·稚川					no_query_match
f_389	伊德尔	389	伊德尔					no_query_match
f_392	巴比伦王吉尔加尔	392	巴比伦王吉尔加尔					no_query_match
f_393	巴比伦王吉尔加尔	393	巴比伦王吉尔加尔					no_query_match
f_398	炼尊	398	炼尊					no_query_match
f_399	炼尊	399	炼尊					no_query_match
f_404	宰相吉尔	404	宰相吉尔					no_query_match
f_407	月老	407	月老					no_query_match
f_410	尼羅河之靈	410	尼罗河之灵					no_query_match
f_413	银色守衛	413	银色守卫					no_query_match
f_414	银色守衛	414	银色守卫					no_query_match
f_416	姜子牙	416	姜子牙					no_query_match
f_419	月神巫女	419	月神巫女					no_query_match
f_422	紫绡劍爵	422	紫绡剑爵					no_query_match
f_425	夸父	425	夸父					no_query_match
f_428	百人隊長-臨時名	428	百人队长-临时名					no_query_match
f_431	血拳苍獠	431	血拳苍獠					no_query_match
f_434	教父	434	教父					no_query_match
f_435	教父	435	教父					no_query_match
f_437	手帕	437	手帕					no_query_match
f_440	神王奥丁	440	神王奥丁					no_query_match
f_5006	精靈弓手	5006	精灵弓手					no_query_match
f_5012	精靈長弓手	5012	精灵长弓手					no_query_match
f_5018	精靈神射手	5018	精灵神射手					no_query_match
f_5024	精靈猎人	5024	精灵猎人					no_query_match
f_5030	精靈游侠	5030	精灵游侠					no_query_match
f_5036	精靈狙擊手	5036	精灵狙击手					no_query_match
f_5048	精靈女巫	5048	精灵女巫					no_query_match
f_5054	精靈祭司	5054	精灵祭司					no_query_match
f_5060	精靈大祭司	5060	精灵大祭司					no_query_match
f_5066	精靈火法学徒	5066	精灵火法学徒					no_query_match
f_5072	精靈火法師	5072	精灵火法师					no_query_match
f_5078	精靈火魔导	5078	精灵火魔导					no_query_match
f_5090	天馬侦查兵	5090	天马侦查兵					no_query_match
f_5096	天馬骑衛兵	5096	天马骑卫兵					no_query_match
f_5102	天馬骑衛隊長	5102	天马骑卫队长					no_query_match
f_5108	天馬骑兵	5108	天马骑兵					no_query_match
f_5114	天馬突擊兵	5114	天马突击兵					no_query_match
f_5120	天馬突擊隊長	5120	天马突击队长					no_query_match
f_5132	精靈武士	5132	精灵武士					no_query_match
f_5138	精靈祝福武士	5138	精灵祝福武士					no_query_match
f_5144	精靈破法者	5144	精灵破法者					no_query_match
f_5150	精靈衛兵	5150	精灵卫兵					no_query_match
f_5156	精靈禁衛	5156	精灵禁卫					no_query_match
f_5162	精靈禁衛長	5162	精灵禁卫长					no_query_match
f_5174	精靈雷法学徒	5174	精灵雷法学徒					no_query_match
f_5180	精靈雷法師	5180	精灵雷法师					no_query_match
f_5186	精靈雷魔导	5186	精灵雷魔导					no_query_match
f_5192	精靈冰法学徒	5192	精灵冰法学徒					no_query_match
f_5198	精靈冰法師	5198	精灵冰法师					no_query_match
f_5204	精靈冰魔导	5204	精灵冰魔导					no_query_match
f_5216	精靈探子	5216	精灵探子					no_query_match
f_5233	影刃無息	5233	影刃无息					no_query_match
f_5257	萬物使者安缇諾雅	5257	万物使者安缇诺雅					no_query_match
f_5261	火魔导師	5261	火魔导师					no_query_match
f_5264	执行者黛絲	5264	执行者黛丝					no_query_match
f_5267	莎尔的牧師	5267	莎尔的牧师					no_query_match
f_5268	莎尔的牧師	5268	莎尔的牧师					no_query_match
f_5291	纯淨之刃艾达	5291	纯净之刃艾达					no_query_match
f_5310	精靈守護者	5310	精灵守护者					no_query_match
f_5315	落葉使者莱纳斯	5315	落叶使者莱纳斯					no_query_match
f_5318	血炼	5318	血炼					no_query_match
f_5319	血炼	5319	血炼					no_query_match
f_5321	莱安娜女王	5321	莱安娜女王					no_query_match
f_5322	莱安娜女王	5322	莱安娜女王					no_query_match
f_5327	元素師艾萝拉	5327	元素师艾萝拉					no_query_match
f_5328	元素師艾萝拉	5328	元素师艾萝拉					no_query_match
f_5330	西海鹿女	5330	西海鹿女					no_query_match
f_5337	布莱欧妮	5337	布莱欧妮					no_query_match
f_5340	学姐索菲亞	5340	学姐索菲亚					no_query_match
f_5341	学姐索菲亞	5341	学姐索菲亚					no_query_match
f_5343	森林猎手霍克	5343	森林猎手霍克					no_query_match
f_5346	鬼人艾希	5346	鬼人艾希					no_query_match
f_5349	龍卷風巫師5982	5349	龙卷风巫师5982					no_query_match
f_5350	龍卷風巫師5982	5350	龙卷风巫师5982					no_query_match
f_5352	雪國聖使拉夫尔	5352	雪国圣使拉夫尔					no_query_match
f_5355	晶能靈師	5355	晶能灵师					no_query_match
f_6006	貓人劍客	6006	猫人剑客					no_query_match
f_6012	貓人刺客	6012	猫人刺客					no_query_match
f_6018	貓人刺殺大師	6018	猫人刺杀大师					no_query_match
f_6024	貓人信使	6024	猫人信使					no_query_match
f_6030	貓人斥候	6030	猫人斥候					no_query_match
f_6036	貓人追踪者	6036	猫人追踪者					no_query_match
f_6041	疾風劍瑪麗塔	6041	疾风剑玛丽塔					no_query_match
f_6042	疾風劍瑪麗塔	6042	疾风剑玛丽塔					no_query_match
f_6048	人馬骑兵	6048	人马骑兵					no_query_match
f_6054	人馬游擊手	6054	人马游击手					no_query_match
f_6060	人馬游擊長	6060	人马游击长					no_query_match
f_6066	人馬骑射手	6066	人马骑射手					no_query_match
f_6072	人馬猎射手	6072	人马猎射手					no_query_match
f_6078	人馬神射手	6078	人马神射手					no_query_match
f_6083	猎手诡狼	6083	猎手诡狼					no_query_match
f_6084	猎手诡狼	6084	猎手诡狼					no_query_match
f_6090	翼人武士	6090	翼人武士					no_query_match
f_6096	翼人勇士	6096	翼人勇士					no_query_match
f_6102	翼人影武者	6102	翼人影武者					no_query_match
f_6108	翼人戰士	6108	翼人战士					no_query_match
f_6114	翼人襲擊者	6114	翼人袭击者					no_query_match
f_6120	翼人嗜血者	6120	翼人嗜血者					no_query_match
f_6125	苍翼族長拉姆	6125	苍翼族长拉姆					no_query_match
f_6126	苍翼族長拉姆	6126	苍翼族长拉姆					no_query_match
f_6138	兔人門生	6138	兔人门生					no_query_match
f_6144	兔人劍客	6144	兔人剑客					no_query_match
f_6150	兔人劍豪	6150	兔人剑豪					no_query_match
f_6156	兔人弓箭手	6156	兔人弓箭手					no_query_match
f_6162	兔人猎手	6162	兔人猎手					no_query_match
f_6168	兔人狙擊手	6168	兔人狙击手					no_query_match
f_6173	狙殺大師汉娜	6173	狙杀大师汉娜					no_query_match
f_6174	狙殺大師汉娜	6174	狙杀大师汉娜					no_query_match
f_6180	狼人戰士	6180	狼人战士					no_query_match
f_6186	狼人斗士	6186	狼人斗士					no_query_match
f_6192	狼人突襲者	6192	狼人突袭者					no_query_match
f_6198	狼人猎手	6198	狼人猎手					no_query_match
f_6204	狼人嗜血者	6204	狼人嗜血者					no_query_match
f_6210	狼人血腥撕裂者	6210	狼人血腥撕裂者					no_query_match
f_6215	荒野屠夫巴登	6215	荒野屠夫巴登					no_query_match
f_6216	荒野屠夫巴登	6216	荒野屠夫巴登					no_query_match
f_6239	情报專家靈耳	6239	情报专家灵耳					no_query_match
f_1006	僵尸衛兵	1006	僵尸卫兵					no_query_match
f_1012	僵尸哨衛	1012	僵尸哨卫					no_query_match
f_1018	僵尸衛隊長	1018	僵尸卫队长					no_query_match
f_1024	僵尸劍士	1024	僵尸剑士					no_query_match
f_1030	僵尸戰士	1030	僵尸战士					no_query_match
f_1036	僵尸隊長	1036	僵尸队长					no_query_match
f_1041	不滅的克里斯	1041	不灭的克里斯					no_query_match
f_1042	不滅的克里斯	1042	不灭的克里斯					no_query_match
f_1054	吸血鬼贵族	1054	吸血鬼贵族					no_query_match
f_1060	吸血鬼伯爵	1060	吸血鬼伯爵					no_query_match
f_1066	吸血鬼学徒	1066	吸血鬼学徒					no_query_match
f_1072	吸血鬼法師	1072	吸血鬼法师					no_query_match
f_1078	吸血鬼导師	1078	吸血鬼导师					no_query_match
