id	name	mode	sourceId	site_name	raw_file	out_file	status
f_12	哨衛	none	12				no_match
f_18	衛隊長	none	18				no_match
f_24	侍從	none	24				no_match
f_41	聖光团長肖恩	none	41				no_match
f_42	聖光团長肖恩	none	42				no_match
f_83	胜利衝锋詹姆	none	83				no_match
f_84	胜利衝锋詹姆	none	84				no_match
f_90	劍士	none	90				no_match
f_96	大劍士	none	96				no_match
f_102	重劍士	none	102				no_match
f_108	佣兵	none	108				no_match
f_114	高級佣兵	none	114				no_match
f_120	佣兵隊長	none	120				no_match
f_125	致命旋舞温蒂	none	125				no_match
f_126	致命旋舞温蒂	none	126				no_match
f_132	重弩手	none	132				no_match
f_138	禁衛重弩手	none	138				no_match
f_144	重弩上尉	none	144				no_match
f_150	连弩手	none	150				no_match
f_156	禁衛连弩手	none	156				no_match
f_162	连弩上尉	none	162				no_match
f_167	猎魔將軍范海辛	none	167				no_match
f_168	猎魔將軍范海辛	none	168				no_match
f_174	修女	none	174				no_match
f_180	戰斗修女	none	180				no_match
f_186	戰斗修女長	none	186				no_match
f_192	执事	none	192				no_match
f_198	女牧師	none	198				no_match
f_209	大主教法奥	existing_custom	209			f_209_大主教法奥.jpg	skip_has_custom
f_210	大主教法奥	existing_custom	210			f_210_大主教法奥.jpg	skip_has_custom
f_233	真理之弦穆特	existing_custom	233			f_233_真理之弦穆特.jpg	skip_has_custom
f_257	铁壁塞拉蒂斯	existing_custom	257			f_257_铁壁塞拉蒂斯.jpg	skip_has_custom
f_308	花园聖衛莱拉妮	none	308				no_match
f_311	劳動模范白白	none	311				no_match
f_312	劳動模范白白	none	312				no_match
f_314	捣蛋鬼曼妮	none	314				no_match
f_317	庄主夫人	none	317				no_match
f_318	庄主夫人	none	318				no_match
f_320	女警薇薇安	none	320				no_match
f_321	女警薇薇安	none	321				no_match
f_323	滅龍	none	323				no_match
f_324	滅龍	none	324				no_match
f_326	威廉·華莱士	none	326				no_match
f_327	威廉·華莱士	none	327				no_match
f_329	小鲜肉	none	329				no_match
f_330	小鲜肉	none	330				no_match
f_332	後羿	none	332				no_match
f_333	後羿	none	333				no_match
f_335	嫦娥	none	335				no_match
f_336	嫦娥	none	336				no_match
f_338	阿拉貝拉修女	none	338				no_match
f_339	阿拉貝拉修女	none	339				no_match
