id	name	field	before	after
f_37385	建御雷神	ability1	電撃球:射程+2、傷害対象25%機率無法行動。1回合持續。	電撃球:射程+2、傷害目標25%機率無法行動，持續1回合。
f_37385	建御雷神	ability2	雷神信仰:每回合、隨機1名敵方士兵或英雄雷傷害2與。魔法傷害與時攻擊力+1。	雷神信仰:每回合，隨機1名敵方士兵或英雄雷傷害2與。魔法傷害與時攻擊+1。
f_37385	建御雷神	ability3	擊退3:傷害対象後退3格。	擊退3:傷害目標後退3格。
f_37385	建御雷神	ability4	雷神撃2:每回合、隨機敵方士兵或英雄2、3、4雷傷害與。傷害対象士兵25%機率無法行動。1回合持續。	雷神撃2:每回合，隨機敵方士兵或英雄2、3、4雷傷害與。受傷士兵25%機率無法行動，持續1回合。
f_37385	建御雷神	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:建御雷神。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:建御雷神。
f_37355	石田三成	ability4	冥助5:召喚時、自身冥助效果賦予:戰場時、召喚者被傷害0減免。5回合持續。	冥助5:召喚時、自身冥助效果獲得:戰場時、召喚者被傷害0減免。5回合持續。
f_37355	石田三成	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:石田三成。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:石田三成。
f_37367	利維坦	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:利維坦。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:利維坦。
f_37373	織田信長	ability2	戻:首次行動時、全友方士兵後退賦予:射程内攻擊受到時、向後移動。移動因攻擊範囲外移動若可、該攻擊回避可能。自身先於行動終士兵4回合持續。自身之後行動士兵3回合持續。	戻:首次行動時、全友方士兵後退獲得:射程内攻擊受傷時、向後移動。移動因攻擊範囲外移動若可、該攻擊回避可能。自身先於行動終士兵4回合持續。自身之後行動士兵3回合持續。
f_37373	織田信長	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:織田信長。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:織田信長。
f_37361	上杉謙信	ability3	沸立血:致死傷害受到時、HP1残生残。效果発動後、下一次行動結束時残傷害受到。	沸立血:致死傷害受傷時、HP1残生残。效果発動後、下一次行動結束時残傷害受到。
f_37361	上杉謙信	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:上杉謙信。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:上杉謙信。
f_37379	戰車EX	ability3	炎上8:每回合、火炎傷害8。	炎上8:每回合，火炎傷害8。
f_37379	戰車EX	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:戰車EX。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:戰車EX。
f_37325	英雄殺ジューバ	ability1	生贄祭祀:每回合、友方士兵1體生贄賦予:行動結束時死亡。生贄持續回合5。	生贄祭祀:每回合，友方士兵1體生贄獲得:行動結束時死亡。生贄持續回合5。
f_37325	英雄殺ジューバ	ability3	使役代償3:每回合、召喚者火炎傷害3。	使役代償3:每回合，召喚者火炎傷害3。
f_37325	英雄殺ジューバ	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:英雄殺。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:英雄殺。
f_37343	シェイクスピア	ability3	恋女:每回合、周囲1格（4/1/6/恋男/破甲/猛毒撃1）1體召喚。最大1體。	恋女:每回合，周囲1格（4/1/6/恋男/破甲/猛毒撃1）1體召喚。最大1體。
f_37343	シェイクスピア	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:莎士比亞。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:莎士比亞。
f_37331	アポピス	ability2	意地6:状態效果影響無效化。每回合、全友方士兵一矢6賦予:移動力無限。士兵對、傷害與敵方致死傷害受到。行動結束時死亡。自身先於行動終士兵2回合持續。自身之後行動士兵1回合持續。	意地6:状態效果影響無效化。每回合，全友方士兵一矢6獲得:移動力無限。士兵對、傷害與敵方致死傷害受到。行動結束時死亡。自身先於行動終士兵2回合持續。自身之後行動士兵1回合持續。
f_37331	アポピス	ability3	接合2:敵士兵死亡時、自身攻擊力+2。友方士兵死亡時、自身HP+2。	接合2:敵士兵死亡時、自身攻擊+2。友方士兵死亡時、自身HP+2。
f_37331	アポピス	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:阿波菲斯。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:阿波菲斯。
f_37337	メジェド	ability3	加速舞2:自身召喚者味方英雄場召喚士兵加速2賦予。5回合持續。	加速舞2:自身召喚者味方英雄場召喚士兵加速2獲得。5回合持續。
f_37337	メジェド	ability4	痛烈光:首次行動時、全敵士兵盲目賦予:攻擊不能。1回合持續。	痛烈光:首次行動時、全敵士兵盲目獲得:攻擊不能。1回合持續。
f_37337	メジェド	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:梅傑德。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:梅傑德。
f_37349	ウリエル	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:烏列爾。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:烏列爾。
f_37307	八岐大蛇	ability2	竜信仰:味方全竜族士兵竜魂賦予:攻擊力+2、HP+6。	竜信仰:味方全竜族士兵竜魂獲得:攻擊力+2、HP+6。
f_37307	八岐大蛇	ability3	全友方士兵一緒賦予:死亡時、隨機敵士兵1體倒。	全友方士兵一緒獲得:死亡時、隨機敵士兵1體倒。
f_37307	八岐大蛇	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:八岐大蛇。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:八岐大蛇。
f_37319	顔良	ability1	堕天大剣:目標以及該上下2格内全敵士兵英雄攻擊。傷害対象後退2格。	堕天大剣:目標以及該上下2格内全敵士兵英雄攻擊。傷害目標後退2格。
f_37319	顔良	ability2	目力:召喚時、全敵士兵死相賦予:[自身HP]1。2回合持續。	目力:召喚時、全敵士兵死相獲得:[自身HP]1。2回合持續。
f_37319	顔良	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:顔良。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:顔良。
f_37301	サスカッチ	ability4	减速舞2:自身召喚者味方英雄場召喚士兵減速2賦予。5回合持續。	减速舞2:自身召喚者味方英雄場召喚士兵減速2獲得。5回合持續。
f_37301	サスカッチ	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:薩斯奎奇。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:薩斯奎奇。
f_37313	ガウェイン	ability1	片手一刀平突:目標以及該後方3×1内全敵士兵英雄攻擊。傷害対象士兵全深手2賦予、2回合持續。	片手一刀平突:目標以及該後方3×1内全敵士兵英雄攻擊。受傷士兵全深手2獲得、2回合持續。
f_37313	ガウェイン	ability4	恐21:全友方士兵勇気21賦予:敵方傷害減免無視。HP+21。	恐21:全友方士兵勇気21獲得:敵方傷害減免無視。HP+21。
f_37313	ガウェイン	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
