id	name_before	name_after	changed_fields
f_37385	建御雷神	建御雷神	ability1,ability2,ability3,ability4,description,abilities[]
f_37355	石田三成	石田三成	ability1,ability2,ability3,ability4,description,abilities[]
f_37367	レヴィアタン	利維坦	name,ability1,ability2,ability3,description,abilities[]
f_37373	織田信長	織田信長	ability1,ability2,ability3,ability4,description,abilities[]
f_37361	上杉謙信	上杉謙信	ability1,ability2,ability3,ability4,description,abilities[]
f_37379	チャリオットEX	チャリオットEX	ability1,ability2,ability3,ability4,description,abilities[]
f_37325	英雄殺ジューバ	英雄殺ジューバ	ability1,ability2,ability3,description,abilities[]
f_37343	シェイクスピア	シェイクスピア	ability1,ability2,ability3,ability4,description,abilities[]
f_37331	アポピス	アポピス	ability1,ability2,ability3,description,abilities[]
f_37337	メジェド	メジェド	ability1,ability2,ability3,ability4,description,abilities[]
f_37349	ウリエル	ウリエル	ability1,ability2,ability3,description,abilities[]
f_37307	八岐大蛇	八岐大蛇	ability1,ability2,ability3,description,abilities[]
f_37319	顔良	顔良	ability1,ability2,ability3,ability4,description,abilities[]
f_37301	サスカッチ	サスカッチ	ability1,ability2,ability3,ability4,description,abilities[]
f_37313	ガウェイン	ガウェイン	ability1,ability2,ability3,ability4,description,abilities[]
f_37265	アメミット	アメミット	ability1,ability2,ability3,ability4,description,abilities[]
f_37271	アメミットの影	アメミットの影	ability1,ability2,ability3,ability4,description,abilities[]
f_37295	チェルシーEX	チェルシーEX	ability1,ability2,ability3,ability4,description,abilities[]
f_37259	サマエル	サマエル	ability1,ability2,ability3,ability4,description,abilities[]
f_37277	役小角	役小角	ability1,ability2,ability3,description,abilities[]
f_37283	渾沌	渾沌	ability1,ability2,ability3,ability4,description,abilities[]
f_37253	ケルス改	ケルス改	ability1,ability2,ability3,ability4,description,abilities[]
f_37247	雪女	雪女	ability1,ability2,ability3,ability4,description,abilities[]
f_37241	フルフル	フルフル	ability1,ability2,ability3,ability4,description,abilities[]
f_37235	サンタブラッドリー	サンタブラッドリー	ability1,ability2,ability3,ability4,description,abilities[]
f_37229	サンタポセイドン	サンタポセイドン	ability1,ability2,ability3,description,abilities[]
f_37217	チョコスナックさん	チョコスナックさん	ability1,ability2,ability3,ability4,description,abilities[]
f_37211	けん玉ちゃん	けん玉ちゃん	ability1,ability2,ability3,description,abilities[]
f_37199	クレヨンちゃん	クレヨンちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36563	プリンス・ジョー	プリンス・ジョー	ability1,ability2,ability3,ability4,description,abilities[]
f_37205	スピーカーちゃん	スピーカーちゃん	ability1,ability2,ability3,description,abilities[]
f_37222	イーナ改	イーナ改	ability1,ability2,ability3,ability4,description,abilities[]
f_37169	砂場ちゃん	砂場ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37163	はさみちゃん	はさみちゃん	ability1,ability2,ability3,description,abilities[]
f_37175	三角フラスコさん	三角フラスコさん	ability1,ability2,ability3,ability4,description,abilities[]
f_37181	機械塔	機械塔	ability1,ability2,description,abilities[]
f_37187	ポークビーンズさん	ポークビーンズさん	ability1,ability2,ability3,ability4,description,abilities[]
f_37192	邪教徒シン	邪教徒シン	ability1,ability2,ability3,description,abilities[]
f_37145	ゴム飛びちゃん	ゴム飛びちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37133	黒板消しちゃん	黒板消しちゃん	ability1,ability2,ability3,description,abilities[]
