id	name	changed_fields
f_37385	建御雷神	ability2,ability4,abilities[]
f_37355	石田三成	ability4,abilities[]
f_37367	利維坦	ability1,ability3,abilities[]
f_37373	織田信長	ability2,ability3,ability4,abilities[]
f_37361	上杉謙信	ability1,ability3,ability4,abilities[]
f_37379	戰車EX	ability2,ability4,abilities[]
f_37325	英雄殺ジューバ	ability2,description,abilities[]
f_37343	シェイクスピア	ability1,ability3,ability4,description,abilities[]
f_37331	アポピス	ability1,ability2,description,abilities[]
f_37337	メジェド	ability2,ability3,ability4,description,abilities[]
f_37349	ウリエル	description
f_37307	八岐大蛇	ability1,ability3,abilities[]
f_37319	顔良	ability1,ability2,ability4,abilities[]
f_37301	サスカッチ	ability2,ability4,description,abilities[]
f_37313	ガウェイン	ability1,ability2,ability3,ability4,description,abilities[]
f_37265	アメミット	ability1,ability2,ability4,description,abilities[]
f_37271	アメミットの影	ability1,ability2,ability4,description,abilities[]
f_37295	チェルシーEX	ability1,ability2,ability3,ability4,description,abilities[]
f_37259	サマエル	ability1,ability2,ability3,description,abilities[]
f_37277	役小角	ability2,ability3,abilities[]
f_37283	渾沌	ability1,ability2,ability3,ability4,abilities[]
f_37253	ケルス改	ability1,ability2,ability3,ability4,description,abilities[]
f_37247	雪女	ability1,ability2,ability3,abilities[]
f_37241	フルフル	ability1,ability4,description,abilities[]
f_37235	サンタブラッドリー	ability1,ability2,ability3,description,abilities[]
f_37229	サンタポセイドン	ability2,description,abilities[]
f_37217	チョコスナックさん	ability3,description,abilities[]
f_37211	けん玉ちゃん	ability1,ability2,description,abilities[]
f_37199	クレヨンちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36563	プリンス・ジョー	ability2,ability3,ability4,description,abilities[]
f_37205	スピーカーちゃん	ability1,ability2,ability3,description,abilities[]
f_37222	イーナ改	ability2,ability3,description,abilities[]
f_37169	砂場ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37163	はさみちゃん	ability1,ability2,ability3,description,abilities[]
f_37175	三角フラスコさん	ability1,ability2,ability3,description,abilities[]
f_37181	機械塔	ability1,ability2,abilities[]
f_37187	ポークビーンズさん	ability2,ability4,description,abilities[]
f_37192	邪教徒シン	description
f_37145	ゴム飛びちゃん	ability1,ability3,description,abilities[]
f_37133	黒板消しちゃん	ability2,ability3,description,abilities[]
f_37151	マイコ改	ability1,ability2,ability3,ability4,description,abilities[]
f_37157	マイコ改(竜形態)	ability1,ability2,description,abilities[]
f_37139	算数セットちゃん	ability1,ability2,ability3,description,abilities[]
f_37127	鉛筆HBちゃん	ability1,ability2,ability3,description,abilities[]
f_36997	消しゴムちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37103	プロフィール帳さん	ability1,ability2,ability3,ability4,description,abilities[]
f_37120	グルナラEX	ability1,ability2,ability4,description,abilities[]
f_37115	サインペンちゃん	ability1,ability4,description,abilities[]
f_37109	黒板ちゃん	ability1,description,abilities[]
f_36979	コンパスちゃん	ability1,ability2,ability3,description,abilities[]
f_36967	不死身のジェラルド	ability1,ability2,ability3,ability4,description,abilities[]
f_36985	ラブレターちゃん	ability1,ability2,ability3,description,abilities[]
f_36973	血まみれシャリー	ability2,ability3,ability4,description,abilities[]
f_36990	ダース改	ability1,ability2,description,abilities[]
