id	name	phyle	quality	search_keyword
f_6	衛兵	1	5	衛兵
f_12	哨衛	1	5	哨衛
f_18	衛隊長	1	5	衛隊長
f_24	侍從	1	5	侍從
f_30	聖骑士	1	5	聖骑士
f_36	聖殿骑士	1	5	聖殿骑士
f_41	聖光团長肖恩	1	4	聖光团長肖恩
f_42	聖光团長肖恩	1	5	聖光团長肖恩
f_48	槍骑兵	1	5	槍骑兵
f_54	槍骑士	1	5	槍骑士
f_60	槍骑隊長	1	5	槍骑隊長
f_66	骑兵	1	5	骑兵
f_72	骑士	1	5	骑士
f_78	骑士隊長	1	5	骑士隊長
f_83	胜利衝锋詹姆	1	4	胜利衝锋詹姆
f_84	胜利衝锋詹姆	1	5	胜利衝锋詹姆
f_90	劍士	1	5	劍士
f_96	大劍士	1	5	大劍士
f_102	重劍士	1	5	重劍士
f_108	佣兵	1	5	佣兵
f_114	高級佣兵	1	5	高級佣兵
f_120	佣兵隊長	1	5	佣兵隊長
f_125	致命旋舞温蒂	1	4	致命旋舞温蒂
f_126	致命旋舞温蒂	1	5	致命旋舞温蒂
f_132	重弩手	1	5	重弩手
f_138	禁衛重弩手	1	5	禁衛重弩手
f_144	重弩上尉	1	5	重弩上尉
f_150	连弩手	1	5	连弩手
f_156	禁衛连弩手	1	5	禁衛连弩手
f_162	连弩上尉	1	5	连弩上尉
f_167	猎魔將軍范海辛	1	4	猎魔將軍范海辛
f_168	猎魔將軍范海辛	1	5	猎魔將軍范海辛
f_174	修女	1	5	修女
f_180	戰斗修女	1	5	戰斗修女
f_186	戰斗修女長	1	5	戰斗修女長
f_192	执事	1	5	执事
f_198	女牧師	1	5	女牧師
f_204	主教	1	5	主教
f_308	花园聖衛莱拉妮	1	4	花园聖衛莱拉妮
f_311	劳動模范白白	1	4	劳動模范白白
f_312	劳動模范白白	1	5	劳動模范白白
f_314	捣蛋鬼曼妮	3	4	捣蛋鬼曼妮
f_317	庄主夫人	1	4	庄主夫人
f_318	庄主夫人	1	5	庄主夫人
f_320	女警薇薇安	1	4	女警薇薇安
f_321	女警薇薇安	1	5	女警薇薇安
f_323	滅龍	1	4	滅龍
f_324	滅龍	1	5	滅龍
f_326	威廉·華莱士	1	4	威廉·華莱士
f_327	威廉·華莱士	1	5	威廉·華莱士
f_329	小鲜肉	1	4	小鲜肉
f_330	小鲜肉	1	5	小鲜肉
f_332	後羿	1	4	後羿
f_333	後羿	1	5	後羿
f_335	嫦娥	1	4	嫦娥
f_336	嫦娥	1	5	嫦娥
f_338	阿拉貝拉修女	1	4	阿拉貝拉修女
f_339	阿拉貝拉修女	1	5	阿拉貝拉修女
f_341	虔诚者杰斯	1	4	虔诚者杰斯
f_344	干將	1	4	干將
f_347	莫邪	1	4	莫邪
f_350	凛冬公主	1	4	凛冬公主
f_351	凛冬公主	1	5	凛冬公主
f_353	槍械師艾默炟	1	4	槍械師艾默炟
f_356	哪吒	1	4	哪吒
f_359	永恒大法師	1	4	永恒大法師
f_360	永恒大法師	1	5	永恒大法師
f_365	勤劳的农夫杰克	1	4	勤劳的农夫杰克
f_368	鲁班	1	4	鲁班
f_371	波士顿人	1	4	波士顿人
f_372	波士顿人	1	5	波士顿人
f_380	劍術大師中泽琴	1	4	劍術大師中泽琴
f_383	精衛·稚川	1	4	精衛·稚川
f_389	伊德尔	1	4	伊德尔
f_392	巴比伦王吉尔加尔	1	4	巴比伦王吉尔加尔
f_393	巴比伦王吉尔加尔	1	5	巴比伦王吉尔加尔
f_398	炼尊	1	4	炼尊
f_399	炼尊	1	5	炼尊
f_404	宰相吉尔	1	4	宰相吉尔
f_407	月老	1	4	月老
f_410	尼羅河之靈	1	4	尼羅河之靈
f_413	银色守衛	1	4	银色守衛
f_414	银色守衛	1	5	银色守衛
f_416	姜子牙	1	4	姜子牙
f_419	月神巫女	1	4	月神巫女
f_422	紫绡劍爵	1	4	紫绡劍爵
f_425	夸父	1	4	夸父
f_428	百人隊長-臨時名	1	4	百人隊長-臨時名
f_431	血拳苍獠	1	4	血拳苍獠
f_434	教父	1	4	教父
f_435	教父	1	5	教父
f_437	手帕	1	4	手帕
f_440	神王奥丁	1	4	神王奥丁
f_5006	精靈弓手	6	5	精靈弓手
f_5012	精靈長弓手	6	5	精靈長弓手
f_5018	精靈神射手	6	5	精靈神射手
f_5024	精靈猎人	6	5	精靈猎人
f_5030	精靈游侠	6	5	精靈游侠
f_5036	精靈狙擊手	6	5	精靈狙擊手
f_5048	精靈女巫	6	5	精靈女巫
f_5054	精靈祭司	6	5	精靈祭司
f_5060	精靈大祭司	6	5	精靈大祭司
f_5066	精靈火法学徒	6	5	精靈火法学徒
f_5072	精靈火法師	6	5	精靈火法師
f_5078	精靈火魔导	6	5	精靈火魔导
f_5090	天馬侦查兵	6	5	天馬侦查兵
f_5096	天馬骑衛兵	6	5	天馬骑衛兵
f_5102	天馬骑衛隊長	6	5	天馬骑衛隊長
f_5108	天馬骑兵	6	5	天馬骑兵
f_5114	天馬突擊兵	6	5	天馬突擊兵
f_5120	天馬突擊隊長	6	5	天馬突擊隊長
f_5132	精靈武士	6	5	精靈武士
f_5138	精靈祝福武士	6	5	精靈祝福武士
f_5144	精靈破法者	6	5	精靈破法者
f_5150	精靈衛兵	6	5	精靈衛兵
f_5156	精靈禁衛	6	5	精靈禁衛
f_5162	精靈禁衛長	6	5	精靈禁衛長
f_5174	精靈雷法学徒	6	5	精靈雷法学徒
f_5180	精靈雷法師	6	5	精靈雷法師
f_5186	精靈雷魔导	6	5	精靈雷魔导
f_5192	精靈冰法学徒	6	5	精靈冰法学徒
f_5198	精靈冰法師	6	5	精靈冰法師
f_5204	精靈冰魔导	6	5	精靈冰魔导
f_5216	精靈探子	6	5	精靈探子
f_5233	影刃無息	6	4	影刃無息
f_5257	萬物使者安缇諾雅	6	4	萬物使者安缇諾雅
f_5261	火魔导師	6	4	火魔导師
f_5264	执行者黛絲	6	4	执行者黛絲
f_5267	莎尔的牧師	6	4	莎尔的牧師
f_5268	莎尔的牧師	6	5	莎尔的牧師
f_5291	纯淨之刃艾达	6	4	纯淨之刃艾达
f_5310	精靈守護者	6	5	精靈守護者
f_5315	落葉使者莱纳斯	6	4	落葉使者莱纳斯
f_5318	血炼	6	4	血炼
f_5319	血炼	6	5	血炼
f_5321	莱安娜女王	6	4	莱安娜女王
f_5322	莱安娜女王	6	5	莱安娜女王
f_5327	元素師艾萝拉	6	4	元素師艾萝拉
f_5328	元素師艾萝拉	6	5	元素師艾萝拉
f_5330	西海鹿女	6	4	西海鹿女
f_5337	布莱欧妮	6	4	布莱欧妮
f_5340	学姐索菲亞	6	4	学姐索菲亞
f_5341	学姐索菲亞	6	5	学姐索菲亞
f_5343	森林猎手霍克	6	4	森林猎手霍克
f_5346	鬼人艾希	6	4	鬼人艾希
f_5349	龍卷風巫師5982	6	4	龍卷風巫師5982
f_5350	龍卷風巫師5982	6	5	龍卷風巫師5982
f_5352	雪國聖使拉夫尔	6	4	雪國聖使拉夫尔
f_5355	晶能靈師	6	4	晶能靈師
f_6006	貓人劍客	7	5	貓人劍客
f_6012	貓人刺客	7	5	貓人刺客
f_6018	貓人刺殺大師	7	5	貓人刺殺大師
f_6024	貓人信使	7	5	貓人信使
f_6030	貓人斥候	7	5	貓人斥候
f_6036	貓人追踪者	7	5	貓人追踪者
f_6041	疾風劍瑪麗塔	7	4	疾風劍瑪麗塔
f_6042	疾風劍瑪麗塔	7	5	疾風劍瑪麗塔
f_6048	人馬骑兵	7	5	人馬骑兵
f_6054	人馬游擊手	7	5	人馬游擊手
f_6060	人馬游擊長	7	5	人馬游擊長
f_6066	人馬骑射手	7	5	人馬骑射手
f_6072	人馬猎射手	7	5	人馬猎射手
f_6078	人馬神射手	7	5	人馬神射手
f_6083	猎手诡狼	7	4	猎手诡狼
f_6084	猎手诡狼	7	5	猎手诡狼
f_6090	翼人武士	7	5	翼人武士
f_6096	翼人勇士	7	5	翼人勇士
f_6102	翼人影武者	7	5	翼人影武者
f_6108	翼人戰士	7	5	翼人戰士
f_6114	翼人襲擊者	7	5	翼人襲擊者
f_6120	翼人嗜血者	7	5	翼人嗜血者
f_6125	苍翼族長拉姆	7	4	苍翼族長拉姆
f_6126	苍翼族長拉姆	7	5	苍翼族長拉姆
f_6138	兔人門生	7	5	兔人門生
f_6144	兔人劍客	7	5	兔人劍客
f_6150	兔人劍豪	7	5	兔人劍豪
f_6156	兔人弓箭手	7	5	兔人弓箭手
f_6162	兔人猎手	7	5	兔人猎手
f_6168	兔人狙擊手	7	5	兔人狙擊手
f_6173	狙殺大師汉娜	7	4	狙殺大師汉娜
f_6174	狙殺大師汉娜	7	5	狙殺大師汉娜
f_6180	狼人戰士	7	5	狼人戰士
f_6186	狼人斗士	7	5	狼人斗士
f_6192	狼人突襲者	7	5	狼人突襲者
f_6198	狼人猎手	7	5	狼人猎手
f_6204	狼人嗜血者	7	5	狼人嗜血者
f_6210	狼人血腥撕裂者	7	5	狼人血腥撕裂者
f_6215	荒野屠夫巴登	7	4	荒野屠夫巴登
f_6216	荒野屠夫巴登	7	5	荒野屠夫巴登
f_6239	情报專家靈耳	7	4	情报專家靈耳
f_1006	僵尸衛兵	2	5	僵尸衛兵
f_1012	僵尸哨衛	2	5	僵尸哨衛
f_1018	僵尸衛隊長	2	5	僵尸衛隊長
f_1024	僵尸劍士	2	5	僵尸劍士
f_1030	僵尸戰士	2	5	僵尸戰士
f_1036	僵尸隊長	2	5	僵尸隊長
f_1041	不滅的克里斯	2	4	不滅的克里斯
f_1042	不滅的克里斯	2	5	不滅的克里斯
f_1048	吸血鬼	2	5	吸血鬼
f_1054	吸血鬼贵族	2	5	吸血鬼贵族
f_1060	吸血鬼伯爵	2	5	吸血鬼伯爵
f_1066	吸血鬼学徒	2	5	吸血鬼学徒
f_1072	吸血鬼法師	2	5	吸血鬼法師
f_1078	吸血鬼导師	2	5	吸血鬼导師
f_1083	嗜血亲王基拉	2	4	嗜血亲王基拉
f_1084	嗜血亲王基拉	2	5	嗜血亲王基拉
f_1090	冰幽靈	2	5	冰幽靈
f_1096	寒冷幽靈	2	5	寒冷幽靈
f_1102	冷風幽靈	2	5	冷風幽靈
f_1108	幽靈	2	5	幽靈
f_1114	恐怖幽靈	2	5	恐怖幽靈
f_1120	恐怖魅影	2	5	恐怖魅影
f_1125	绝望之靈	2	4	绝望之靈
f_1126	绝望之靈	2	5	绝望之靈
f_1132	骷髏劍士	2	5	骷髏劍士
f_1138	骷髏戰士	2	5	骷髏戰士
f_1144	骷髏百夫長	2	5	骷髏百夫長
f_1150	骷髏投槍手	2	5	骷髏投槍手
f_1156	骷髏投毒者	2	5	骷髏投毒者
f_1162	骷髏剧毒散播者	2	5	骷髏剧毒散播者
f_1167	咒神者费蒙德	2	4	咒神者费蒙德
f_1168	咒神者费蒙德	2	5	咒神者费蒙德
f_1174	骷髏劍士	2	5	骷髏劍士
f_1180	骷髏戰士	2	5	骷髏戰士
f_1186	骷髏百夫長	2	5	骷髏百夫長
f_1192	骷髏投槍手	2	5	骷髏投槍手
f_1198	骷髏投毒者	2	5	骷髏投毒者
f_1204	骷髏剧毒散播者	2	5	骷髏剧毒散播者
f_1209	咒神者费蒙德	2	4	咒神者费蒙德
f_1210	咒神者费蒙德	2	5	咒神者费蒙德
f_1216	恐惧骑兵	2	5	恐惧骑兵
f_1222	恐惧骑士	2	5	恐惧骑士
f_1228	恐惧骑士隊長	2	5	恐惧骑士隊長
f_1234	死亡骑兵	2	5	死亡骑兵
f_1240	死亡骑士	2	5	死亡骑士
f_1246	死亡骑士隊長	2	5	死亡骑士隊長
f_1251	混沌領主庫彻	2	4	混沌領主庫彻
f_1252	混沌領主庫彻	2	5	混沌領主庫彻
f_1275	無盡之咒薩坦	2	4	無盡之咒薩坦
f_1299	藏尸者亞伯	2	4	藏尸者亞伯
f_1302	缚根亡魂	2	4	缚根亡魂
f_1303	缚根亡魂	2	5	缚根亡魂
f_1305	黑暗女巫凡妮莎	2	4	黑暗女巫凡妮莎
f_1306	黑暗女巫凡妮莎	2	5	黑暗女巫凡妮莎
f_1308	梦魇骑士	2	4	梦魇骑士
f_1311	死亡蝙蝠	3	4	死亡蝙蝠
f_1312	死亡蝙蝠	3	5	死亡蝙蝠
f_1314	無名幽靈	2	4	無名幽靈
f_1315	無名幽靈	2	5	無名幽靈
f_1338	大巫妖迪恩	2	4	大巫妖迪恩
f_1362	棺木看守布莱恩	2	4	棺木看守布莱恩
f_1365	統領阿卡莎	1	4	統領阿卡莎
f_1368	至高之主纳迦什	2	4	至高之主纳迦什
f_1369	至高之主纳迦什	2	5	至高之主纳迦什
f_1371	魔导師聖匣守衛	2	4	魔导師聖匣守衛
f_1372	魔导師聖匣守衛	2	5	魔导師聖匣守衛
f_1374	旱魃	2	4	旱魃
f_1377	梁山伯	2	4	梁山伯
f_1378	梁山伯	2	5	梁山伯
f_1382	萬聖小丑	2	4	萬聖小丑
f_1383	萬聖小丑	2	5	萬聖小丑
f_1386	猩紅魔女	2	4	猩紅魔女
f_1392	绝命劍姬菲奥娜	2	4	绝命劍姬菲奥娜
f_2006	猎狗	3	5	猎狗
f_2012	大型猎狗	3	5	大型猎狗
f_2018	狂怒猎狗	3	5	狂怒猎狗
f_2024	地狱犬	3	5	地狱犬
f_2030	大型地狱犬	3	5	大型地狱犬
f_2036	迅猛地狱犬	3	5	迅猛地狱犬
f_2041	地狱犬雄	3	4	地狱犬雄
f_2042	地狱犬雄	3	5	地狱犬雄
f_2048	蜥蜴	3	5	蜥蜴
f_2054	重甲蜥蜴	3	5	重甲蜥蜴
f_2060	超重甲蜥蜴	3	5	超重甲蜥蜴
f_2066	雷霆蜥蜴	3	5	雷霆蜥蜴
f_2072	成年雷霆蜥	3	5	成年雷霆蜥
f_2078	劍齿雷霆蜥	3	5	劍齿雷霆蜥
f_2083	碉堡巨蜥首領	3	4	碉堡巨蜥首領
f_2084	碉堡巨蜥首領	3	5	碉堡巨蜥首領
f_2090	吸血蝙蝠	3	5	吸血蝙蝠
f_2096	嗜血蝙蝠	3	5	嗜血蝙蝠
f_2102	猩紅巨蝠	3	5	猩紅巨蝠
f_2108	毒蝙蝠	3	5	毒蝙蝠
f_2114	剧毒蝙蝠	3	5	剧毒蝙蝠
